MAPD_PK_BenefitID,Contract_Year,Contract_Number,PBP,Category,CategoryData,Insert_DTS,Update_DTS,Insert_User_ID,UPDATE_User_ID,IsDeleted,CategoryGrp,CategoryOrder,FK_PlanID
5DDAA16C-C3D6-40AF-9123-00232D505AED,2026,H5521,219,Ambulatory surgical center,In-Network $0 for preventive and diagnostic colonoscopy $250 all other ambulatory surgical center services  Out-of-Network 50%,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Ambulatory surgical center,6,D60AB953-8E4E-4A7B-8A76-C3EA917A2862
7A154CF6-3AA4-4241-B8DA-00237370C965,2026,H5521,303,Fitness,"Fitness benefit that includes a basic membership to any SilverSneakers participating fitness facility. If you do not reside near a participating facility, or prefer to exercise at home, online classes and one at-home fitness kit per year are available through SilverSneakers at no additional cost to you.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Wellness,13,B66C08EC-6A32-4D06-80F7-DC183A45E3BE
613EA7ED-C887-4CD9-86EA-002485F7E7BF,2026,H5521,249,Chiropractic Routine Services,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,8154B321-3F55-4239-AF79-C3FD60A53B88
B03B25FB-0644-425B-9FDC-0025FCE54E49,2026,H0628,12,Fitness,"Fitness benefit that includes a basic membership to any SilverSneakers participating fitness facility. If you do not reside near a participating facility, or prefer to exercise at home, online classes and one at-home fitness kit per year are available through SilverSneakers at no additional cost to you.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Wellness,13,C9E5800A-BF92-47BE-8302-26501A82334E
6A38E865-8D69-4570-948F-002B43970212,2026,H1609,85,Visitor/Traveler Program,No,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,C76B0B84-2AB6-4D8C-99AC-02ADB577773C
121DF4FE-4CFD-46F4-8E12-002EC3EE76AF,2026,H5521,235,Lab Services,In-Network $0   Out-of-Network 50%,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,7FA18957-3740-499F-A965-88D2A498C062
14B853DF-A133-4FC8-871F-002EFD5FC85E,2026,H5521,654,Meals,Not Covered,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,489E0E8C-0921-465F-B404-FF277C35757D
7E40CD36-DF6A-4E11-BB43-0033D20FCFC2,2026,H5521,578,Ambulance,In-Network $265  Out-of-Network $265,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Emergency/Urgent Care,4,15EF03BB-F604-452B-BE08-E2315CDB6DF9
A2E583D7-5AAA-472E-844C-00364407C2F3,2026,H3959,84,Diabetic Monitoring Supplies,In-Network $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diabetic Monitoring Supplies,7,74092B0D-C207-4EDE-B3C6-89D471D8A0CF
4D0442B4-93A3-457E-BCF6-00395F8C253A,2026,H5521,224,Transportation,Not Covered,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,C24E20DD-1102-4E5D-8DAA-8502B20734EF
